ID_GPS;Country;Partyname;Region;Type_Values;Type_Partysize_vote;V4_Scale;V6_Scale;V8_Scale;V10;V11;V12;V13;V14;V15;V16;V17;Elec_year;PartyPerVote;WVS_LR_MedianVoter;OECD;polity2;FH_Regime;GDP;Longevity
1;Afghanistan;Islamic Society;6;4;-99;7;8,333333333;9,333333333;3,333333333;8;3;4,333333333;7,5;5,666666667;7,6;8,25;2018;-99;-99;0;-1;0;1734,7232;58,7
2;Afghanistan;Islamic Unity Party of Afghanistan;6;4;-99;5;8,333333333;9;4;5,6;3;5,5;5,5;0,5;5,25;8;2018;-99;-99;0;-1;0;1734,7232;58,7
3;Afghanistan;National Islamic Movement of Afghanistan;6;2;-99;4;8,5;9;5,333333333;8;4;4;9,333333333;5,75;6,8;8,6;2018;-99;-99;0;-1;0;1734,7232;58,7
4;Afghanistan;People's Islamic Unity Party of Afghanistan;6;4;-99;5;8;8,75;5;5,4;2,5;6;5,5;3,75;5,2;8;2018;-99;-99;0;-1;0;1734,7232;58,7
5;Afghanistan;Republican Party of Afghanistan;6;2;-99;4;8,5;7;5;6;2,5;5,666666667;2,333333333;1,666666667;1,333333333;7,6;2018;-99;-99;0;-1;0;1734,7232;58,7
6;Angola;Broad Convergence for the Salvation of Angola – Electoral Coalition;4;4;2;5,666666667;7;5,833333333;10;4,333333333;1;4,8;2,166666667;5,333333333;4,5;5;2017;9,4;-99;0;-2;0;5725,3272;65,2
7;Angola;National Front for the Liberation of Angola;4;4;1;7;8,8;6,6;6,5;8;1,5;2;2,333333333;1,5;8;7,25;2017;0,9;-99;0;-2;0;5725,3272;65,2
8;Angola;National Union for the Total Independence of Angola;4;4;3;5,6;8,2;6,285714286;9;4;2;2,75;2,333333333;4,666666667;5,5;6,4;2017;26,7;-99;0;-2;0;5725,3272;65,2
9;Angola;People's Movement for the Liberation of Angola;4;2;3;3,5;8,2;8;9,25;2;2;4;2,166666667;8,333333333;9,25;9,333333333;2017;61,1;-99;0;-2;0;5725,3272;65,2
10;Angola;Social Renewal Party;4;4;1;5,75;8,6;7;9,333333333;9,333333333;1;3,75;1,75;0;4,666666667;6,2;2017;1,4;-99;0;-2;0;5725,3272;65,2
