c_o_code,c_o_OECD
4,non-membre
8,non-membre
24,non-membre
12,non-membre
32,non-membre
51,non-membre
36,membre
40,membre
31,non-membre
108,non-membre
56,membre
204,non-membre
854,non-membre
50,non-membre
100,non-membre
48,non-membre
44,non-membre
112,non-membre
84,non-membre
52,non-membre
64,non-membre
72,non-membre
124,membre
756,membre
384,non-membre
120,non-membre
178,non-membre
170,non-membre
174,non-membre
132,non-membre
196,non-membre
116,non-membre
203,membre
276,membre
262,non-membre
208,membre
818,non-membre
724,membre
233,membre
231,non-membre
246,membre
242,non-membre
250,membre
266,non-membre
191,non-membre
826,membre
268,non-membre
324,non-membre
270,non-membre
226,non-membre
300,membre
308,non-membre
328,non-membre
222,non-membre
332,non-membre
348,membre
360,non-membre
356,non-membre
748,non-membre
372,membre
364,non-membre
368,non-membre
352,membre
376,membre
380,membre
388,non-membre
400,non-membre
392,membre
398,non-membre
417,non-membre
410,membre
414,non-membre
418,non-membre
422,non-membre
426,non-membre
440,non-membre
442,membre
428,non-membre
446,non-membre
504,non-membre
498,non-membre
462,non-membre
484,membre
470,non-membre
104,non-membre
499,non-membre
496,non-membre
478,non-membre
480,non-membre
458,non-membre
566,non-membre
528,membre
524,non-membre
578,membre
554,membre
586,non-membre
598,non-membre
604,non-membre
608,non-membre
616,membre
620,membre
642,non-membre
643,non-membre
646,non-membre
882,non-membre
678,non-membre
702,non-membre
688,non-membre
90,non-membre
703,membre
705,membre
740,non-membre
710,non-membre
752,membre
760,non-membre
768,non-membre
764,non-membre
762,non-membre
795,non-membre
626,non-membre
788,non-membre
792,membre
804,non-membre
840,membre
860,non-membre
862,non-membre
704,non-membre
548,non-membre
716,non-membre
