c_l_code,c_l_longevity
4,moins de 65 ans
8,entre 75 et 80 ans
24,entre 65 et 70 ans
12,entre 75 et 80 ans
32,entre 75 et 80 ans
51,entre 75 et 80 ans
36,plus de 80 ans
40,plus de 80 ans
31,entre 70 et 75 ans
108,moins de 65 ans
56,plus de 80 ans
204,moins de 65 ans
854,moins de 65 ans
50,entre 70 et 75 ans
100,entre 75 et 80 ans
48,entre 75 et 80 ans
70,entre 75 et 80 ans
112,entre 70 et 75 ans
52,entre 75 et 80 ans
68,entre 70 et 75 ans
76,entre 75 et 80 ans
64,entre 70 et 75 ans
72,entre 65 et 70 ans
124,plus de 80 ans
756,plus de 80 ans
152,plus de 80 ans
120,moins de 65 ans
180,moins de 65 ans
178,moins de 65 ans
170,entre 75 et 80 ans
174,entre 65 et 70 ans
132,entre 70 et 75 ans
188,plus de 80 ans
192,entre 75 et 80 ans
196,plus de 80 ans
116,entre 65 et 70 ans
203,entre 75 et 80 ans
276,plus de 80 ans
262,entre 65 et 70 ans
208,plus de 80 ans
214,entre 75 et 80 ans
148,moins de 65 ans
218,entre 75 et 80 ans
818,entre 70 et 75 ans
232,moins de 65 ans
724,plus de 80 ans
233,entre 75 et 80 ans
231,entre 65 et 70 ans
246,plus de 80 ans
242,entre 65 et 70 ans
250,plus de 80 ans
266,entre 65 et 70 ans
191,entre 75 et 80 ans
826,plus de 80 ans
268,entre 70 et 75 ans
288,entre 65 et 70 ans
324,moins de 65 ans
270,entre 65 et 70 ans
624,moins de 65 ans
226,entre 65 et 70 ans
300,plus de 80 ans
320,entre 70 et 75 ans
328,entre 65 et 70 ans
222,entre 75 et 80 ans
332,moins de 65 ans
348,entre 75 et 80 ans
360,entre 70 et 75 ans
356,entre 65 et 70 ans
748,moins de 65 ans
372,plus de 80 ans
364,entre 75 et 80 ans
368,entre 65 et 70 ans
352,plus de 80 ans
376,plus de 80 ans
380,plus de 80 ans
388,entre 75 et 80 ans
400,entre 75 et 80 ans
392,plus de 80 ans
398,entre 70 et 75 ans
404,entre 65 et 70 ans
417,entre 70 et 75 ans
410,plus de 80 ans
414,entre 75 et 80 ans
418,entre 65 et 70 ans
422,plus de 80 ans
434,entre 75 et 80 ans
426,moins de 65 ans
440,entre 75 et 80 ans
442,plus de 80 ans
428,entre 75 et 80 ans
446,entre 75 et 80 ans
504,entre 75 et 80 ans
498,entre 70 et 75 ans
450,moins de 65 ans
462,plus de 80 ans
484,entre 75 et 80 ans
466,moins de 65 ans
470,plus de 80 ans
104,entre 70 et 75 ans
499,entre 75 et 80 ans
496,entre 65 et 70 ans
508,moins de 65 ans
478,entre 70 et 75 ans
480,entre 70 et 75 ans
454,moins de 65 ans
458,entre 75 et 80 ans
516,entre 65 et 70 ans
566,entre 65 et 70 ans
558,entre 75 et 80 ans
528,plus de 80 ans
524,entre 70 et 75 ans
578,plus de 80 ans
554,plus de 80 ans
586,entre 65 et 70 ans
591,entre 75 et 80 ans
598,moins de 65 ans
604,plus de 80 ans
600,entre 70 et 75 ans
608,entre 70 et 75 ans
616,entre 75 et 80 ans
620,plus de 80 ans
642,entre 75 et 80 ans
643,entre 70 et 75 ans
646,entre 65 et 70 ans
729,entre 65 et 70 ans
702,plus de 80 ans
688,entre 75 et 80 ans
90,moins de 65 ans
694,moins de 65 ans
703,entre 75 et 80 ans
706,moins de 65 ans
705,plus de 80 ans
740,entre 70 et 75 ans
710,moins de 65 ans
752,plus de 80 ans
760,entre 65 et 70 ans
768,moins de 65 ans
764,entre 75 et 80 ans
762,entre 70 et 75 ans
834,entre 65 et 70 ans
795,entre 70 et 75 ans
626,entre 70 et 75 ans
780,entre 70 et 75 ans
788,entre 75 et 80 ans
792,entre 75 et 80 ans
800,moins de 65 ans
804,entre 70 et 75 ans
858,entre 75 et 80 ans
840,entre 75 et 80 ans
860,entre 70 et 75 ans
862,entre 75 et 80 ans
704,entre 70 et 75 ans
548,moins de 65 ans
894,moins de 65 ans
716,moins de 65 ans
