c_lb_code,c_lb_lowerchambre
4,autre
51,proportionel
50,majoritaire
48,majoritaire
70,proportionel
52,majoritaire
76,proportionel
64,majoritaire
170,proportionel
188,proportionel
192,majoritaire
116,proportionel
262,mixe
242,proportionel
266,majoritaire
348,mixe
222,proportionel
748,majoritaire
368,proportionel
422,proportionel
442,proportionel
428,proportionel
484,mixe
478,mixe
458,majoritaire
586,majoritaire
600,proportionel
646,proportionel
678,proportionel
694,majoritaire
705,proportionel
752,proportionel
626,proportionel
768,proportionel
792,proportionel
795,majoritaire
840,majoritaire
