c_r_code,c_r_Regime
4,libre
8,partiellement libre
24,libre
12,libre
32,pas libre
51,partiellement libre
36,pas libre
40,pas libre
31,libre
108,libre
56,pas libre
204,pas libre
854,partiellement libre
50,partiellement libre
100,pas libre
48,libre
44,pas libre
112,libre
84,pas libre
52,pas libre
64,partiellement libre
72,pas libre
124,pas libre
756,pas libre
384,partiellement libre
120,libre
178,libre
170,partiellement libre
174,partiellement libre
132,pas libre
196,pas libre
116,libre
203,pas libre
276,pas libre
262,libre
208,pas libre
818,libre
724,pas libre
233,pas libre
231,libre
246,pas libre
242,partiellement libre
250,pas libre
266,libre
191,pas libre
826,pas libre
268,partiellement libre
324,partiellement libre
270,libre
226,libre
300,pas libre
308,pas libre
328,pas libre
222,pas libre
332,partiellement libre
348,pas libre
360,partiellement libre
356,pas libre
748,libre
372,pas libre
364,libre
368,libre
352,pas libre
376,pas libre
380,pas libre
388,pas libre
400,partiellement libre
392,pas libre
398,libre
417,partiellement libre
410,pas libre
414,partiellement libre
418,libre
422,partiellement libre
426,partiellement libre
440,pas libre
442,pas libre
428,pas libre
446,partiellement libre
504,partiellement libre
498,partiellement libre
462,partiellement libre
484,partiellement libre
470,pas libre
104,libre
499,pas libre
496,pas libre
478,libre
480,pas libre
458,partiellement libre
566,partiellement libre
528,pas libre
524,partiellement libre
578,pas libre
554,pas libre
586,partiellement libre
598,partiellement libre
604,pas libre
608,partiellement libre
616,pas libre
620,pas libre
642,pas libre
643,libre
646,libre
882,pas libre
678,pas libre
702,partiellement libre
688,pas libre
90,partiellement libre
703,pas libre
705,pas libre
740,pas libre
710,pas libre
752,pas libre
760,libre
768,partiellement libre
764,libre
762,libre
795,libre
626,pas libre
788,pas libre
792,partiellement libre
804,partiellement libre
840,pas libre
860,libre
862,partiellement libre
704,libre
548,pas libre
716,libre
