ISO_to_all.country_code,VDem_regime,v2elfrfair_ord,v2elparlel,v2elncbpr,v2psbars_ord
4,1,2,3,4,4
24,1,,,,4
8,3,,,,4
32,2,,,,4
12,1,,,,3
51,1,4,1,,4
36,3,,,,4
40,3,,,,4
31,1,0,,1,2
108,1,,,,3
56,3,,,,4
204,3,,,,4
854,2,,,,4
50,1,1,0,1,3
100,2,,,,4
48,0,1,0,,1
44,,,,,
70,2,3,1,3,3
112,1,,,,2
84,,,,,
68,2,,,,4
52,3,4,0,1,4
76,2,3,1,4,4
64,3,4,0,1,3
72,2,,,,4
124,3,,,,4
152,2,,,,4
384,2,,,,4
120,1,1,,3,3
180,1,,,,3
178,1,,,,3
170,2,4,1,4,4
174,1,,,,4
132,2,,,,4
188,3,4,1,4,4
192,0,0,0,1,0
196,3,4,,3,4
203,3,3,,2,4
276,3,,,,4
116,1,0,1,1,3
262,1,1,2,,2
208,3,,,,4
214,2,,,,4
218,2,,,,4
148,1,,,,3
818,1,0,,2,2
232,0,,,,0
233,3,,,,4
231,1,,,,3
246,3,4,,3,4
242,2,3,1,1,3
250,3,,,,4
266,1,2,0,,4
268,2,3,,1,4
288,3,,,,4
191,2,,,,4
324,1,,,,4
270,2,,,,4
624,1,,,,4
226,1,,,,2
300,2,,,,4
308,,,,,
320,2,,,,4
328,2,,,,4
332,1,,,,4
348,2,3,2,3,4
222,2,3,1,,4
360,2,,,,4
356,2,,,,4
372,3,4,,2,4
364,1,,,,1
748,0,2,0,,0
368,1,3,1,2,4
352,3,,,,4
376,3,,,,4
380,3,4,,2,4
388,2,,,,4
400,0,,,,3
392,3,,,,4
398,1,,,,2
404,1,,,,3
417,2,,,,4
410,2,,,,4
414,0,,,,0
418,0,,,,1
422,1,3,1,4,4
434,0,,,,3
426,2,,,,4
440,2,,,,4
442,3,4,1,3,4
428,3,4,1,,4
446,2,,,,4
504,0,,,,4
498,2,,,,4
450,1,3,,1,4
462,1,3,,4,3
484,2,4,2,1,4
466,2,2,,4,4
470,2,,,,4
104,1,,,,3
499,1,2,,4,4
496,2,,,,4
508,1,,,,4
478,1,2,2,2,3
480,3,,,,4
454,2,,,,4
458,1,3,0,4,4
516,2,,,,4
566,2,,,,4
558,1,,,,2
528,3,,,,4
524,2,,,,4
554,3,,,,4
578,3,,,,4
586,1,2,0,2,4
591,2,,,,4
598,1,,,,3
600,2,3,1,1,4
604,2,,,,4
608,2,,,,4
616,2,,,,4
620,3,,,,4
642,2,,,,4
643,1,2,,1,3
646,1,2,1,4,2
882,,,,,
678,2,4,1,3,4
688,1,,,,3
694,2,3,0,1,4
702,1,,,,3
703,2,,,,4
705,3,4,1,3,4
90,2,,,,4
706,0,,,,4
710,2,,,,4
724,3,,,,4
729,1,,,,3
740,2,,,,4
752,3,4,1,2,4
756,3,,,,4
760,0,,,,2
158,3,,,,4
762,1,,,,1
834,2,,,,4
764,0,,,,2
626,2,4,1,3,4
768,1,2,1,4,4
780,3,,,,4
788,2,,,,4
792,1,2,1,1,3
795,1,0,0,3,1
800,1,,,,3
804,1,,,,3
826,3,,,,4
840,3,4,0,1,4
858,3,,,,4
860,0,,,,1
548,3,,,,4
862,1,0,,1,2
704,0,,,,0
887,,,,,
894,1,,,,4
716,1,1,,2,4
