c_bp_code,c_bp_barriers_parties
4,No barriers
24,No barriers
8,No barriers
32,No barriers
12,Modest barriers
51,No barriers
36,No barriers
40,No barriers
31,Significant obstacles
108,Modest barriers
56,No barriers
204,No barriers
854,No barriers
50,Modest barriers
100,No barriers
48,Government affiliated 
70,Modest barriers
112,Significant obstacles
68,No barriers
52,No barriers
76,No barriers
64,Modest barriers
72,No barriers
124,No barriers
152,No barriers
384,No barriers
120,Modest barriers
180,Modest barriers
178,Modest barriers
170,No barriers
174,No barriers
132,No barriers
188,No barriers
192,Parties are not allowed
196,No barriers
203,No barriers
276,No barriers
116,Modest barriers
262,Significant obstacles
208,No barriers
214,No barriers
218,No barriers
148,Modest barriers
818,Significant obstacles
232,Parties are not allowed
233,No barriers
231,Modest barriers
246,No barriers
242,Modest barriers
250,No barriers
266,No barriers
268,No barriers
288,No barriers
191,No barriers
324,No barriers
270,No barriers
624,No barriers
226,Significant obstacles
300,No barriers
320,No barriers
328,No barriers
332,No barriers
348,No barriers
222,No barriers
360,No barriers
356,No barriers
372,No barriers
364,Government affiliated 
748,Parties are not allowed
368,No barriers
352,No barriers
376,No barriers
380,No barriers
388,No barriers
400,Modest barriers
392,No barriers
398,Significant obstacles
404,Modest barriers
417,No barriers
410,No barriers
414,Parties are not allowed
418,Government affiliated 
422,No barriers
434,Modest barriers
426,No barriers
440,No barriers
442,No barriers
428,No barriers
446,No barriers
504,No barriers
498,No barriers
450,No barriers
462,Modest barriers
484,No barriers
466,No barriers
470,No barriers
104,Modest barriers
499,No barriers
496,No barriers
508,No barriers
478,Modest barriers
480,No barriers
454,No barriers
458,No barriers
516,No barriers
566,No barriers
558,Significant obstacles
528,No barriers
524,No barriers
554,No barriers
578,No barriers
586,No barriers
591,No barriers
598,Modest barriers
600,No barriers
604,No barriers
608,No barriers
616,No barriers
620,No barriers
642,No barriers
643,Modest barriers
646,Significant obstacles
678,No barriers
688,Modest barriers
694,No barriers
702,Modest barriers
703,No barriers
705,No barriers
90,No barriers
706,No barriers
710,No barriers
724,No barriers
729,Modest barriers
740,No barriers
752,No barriers
756,No barriers
760,Significant obstacles
158,No barriers
762,Government affiliated 
834,No barriers
764,Significant obstacles
626,No barriers
768,No barriers
780,No barriers
788,No barriers
792,Modest barriers
795,Government affiliated 
800,Modest barriers
804,Modest barriers
826,No barriers
840,No barriers
858,No barriers
860,Government affiliated 
548,No barriers
862,Significant obstacles
704,Parties are not allowed
894,No barriers
716,No barriers
