c_e_code,c_e_election
4,ambigu
51,oui
31,pas du tout
50,pas vraiment
48,pas vraiment
70,oui quelque peu
52,oui
76,oui quelque peu
64,oui
120,pas vraiment
170,oui
188,oui
192,pas du tout
196,oui
203,oui quelque peu
116,pas du tout
262,pas vraiment
818,pas du tout
246,oui
242,oui quelque peu
266,ambigu
268,oui quelque peu
348,oui quelque peu
222,oui quelque peu
372,oui
748,ambigu
368,oui quelque peu
380,oui
422,oui quelque peu
442,oui
428,oui
450,oui quelque peu
462,oui quelque peu
484,oui
466,ambigu
499,ambigu
478,ambigu
458,oui quelque peu
586,ambigu
600,oui quelque peu
643,ambigu
646,ambigu
678,oui
694,oui quelque peu
705,oui
752,oui
626,oui
768,ambigu
792,ambigu
795,pas du tout
840,oui
862,pas du tout
716,pas vraiment
