c_gp_code,c_gp_governement_parties
4,Four or more parties
31,One party
50,One party
70,Three parties
52,One party
76,Four or more parties
64,One party
120,Three parties
170,Four or more parties
188,Four or more parties
192,One party
196,Three parties
203,Two parties
116,One party
818,Two parties
246,Three parties
242,One party
268,One party
348,Three parties
372,Two parties
368,Two parties
380,Two parties
422,Four or more parties
442,Three parties
450,One party
462,Four or more parties
484,One party
466,Four or more parties
499,Four or more parties
478,Two parties
458,Four or more parties
586,Two parties
600,One party
643,One party
646,Four or more parties
678,Three parties
694,One party
705,Three parties
752,Two parties
626,Three parties
768,Four or more parties
792,One party
795,Three parties
840,One party
862,One party
716,Two parties
