c_l_code,c_l_longevity
4,65 years and less
8,75 to 80 years
24,65 to 70 years
12,75 to 80 years
32,75 to 80 years
51,75 to 80 years
36,80 years and more
40,80 years and more
31,70 to 75 years
108,65 years and less
56,80 years and more
204,65 years and less
854,65 years and less
50,70 to 75 years
100,75 to 80 years
48,75 to 80 years
70,75 to 80 years
112,70 to 75 years
52,75 to 80 years
68,70 to 75 years
76,75 to 80 years
64,70 to 75 years
72,65 to 70 years
124,80 years and more
756,80 years and more
152,80 years and more
120,65 years and less
180,65 years and less
178,65 years and less
170,75 to 80 years
174,65 to 70 years
132,70 to 75 years
188,80 years and more
192,75 to 80 years
196,80 years and more
116,65 to 70 years
203,75 to 80 years
276,80 years and more
262,65 to 70 years
208,80 years and more
214,75 to 80 years
148,65 years and less
218,75 to 80 years
818,70 to 75 years
232,65 years and less
724,80 years and more
233,75 to 80 years
231,65 to 70 years
246,80 years and more
242,65 to 70 years
250,80 years and more
266,65 to 70 years
191,75 to 80 years
826,80 years and more
268,70 to 75 years
288,65 to 70 years
324,65 years and less
270,65 to 70 years
624,65 years and less
226,65 to 70 years
300,80 years and more
320,70 to 75 years
328,65 to 70 years
222,75 to 80 years
332,65 years and less
348,75 to 80 years
360,70 to 75 years
356,65 to 70 years
748,65 years and less
372,80 years and more
364,75 to 80 years
368,65 to 70 years
352,80 years and more
376,80 years and more
380,80 years and more
388,75 to 80 years
400,75 to 80 years
392,80 years and more
398,70 to 75 years
404,65 to 70 years
417,70 to 75 years
410,80 years and more
414,75 to 80 years
418,65 to 70 years
422,80 years and more
434,75 to 80 years
426,65 years and less
440,75 to 80 years
442,80 years and more
428,75 to 80 years
446,75 to 80 years
504,75 to 80 years
498,70 to 75 years
450,65 years and less
462,80 years and more
484,75 to 80 years
466,65 years and less
470,80 years and more
104,70 to 75 years
499,75 to 80 years
496,65 to 70 years
508,65 years and less
478,70 to 75 years
480,70 to 75 years
454,65 years and less
458,75 to 80 years
516,65 to 70 years
566,65 to 70 years
558,75 to 80 years
528,80 years and more
524,70 to 75 years
578,80 years and more
554,80 years and more
586,65 to 70 years
591,75 to 80 years
598,65 years and less
604,80 years and more
600,70 to 75 years
608,70 to 75 years
616,75 to 80 years
620,80 years and more
642,75 to 80 years
643,70 to 75 years
646,65 to 70 years
729,65 to 70 years
702,80 years and more
688,75 to 80 years
90,65 years and less
694,65 years and less
703,75 to 80 years
706,65 years and less
705,80 years and more
740,70 to 75 years
710,65 years and less
752,80 years and more
760,65 to 70 years
768,65 years and less
764,75 to 80 years
762,70 to 75 years
834,65 to 70 years
795,70 to 75 years
626,70 to 75 years
780,70 to 75 years
788,75 to 80 years
792,75 to 80 years
800,65 years and less
804,70 to 75 years
858,75 to 80 years
840,75 to 80 years
860,70 to 75 years
862,75 to 80 years
704,70 to 75 years
548,65 years and less
894,65 years and less
716,65 years and less
