c_r_code,c_r_Regime
4,pas libre
8,partiellement libre
24,pas libre
12,pas libre
32,libre
51,partiellement libre
36,libre
40,libre
31,pas libre
108,pas libre
56,libre
204,libre
854,partiellement libre
50,partiellement libre
100,libre
48,pas libre
44,libre
112,pas libre
84,libre
52,libre
64,partiellement libre
72,libre
124,libre
756,libre
384,partiellement libre
120,pas libre
178,pas libre
170,partiellement libre
174,partiellement libre
132,libre
196,libre
116,pas libre
203,libre
276,libre
262,pas libre
208,libre
818,pas libre
724,libre
233,libre
231,pas libre
246,libre
242,partiellement libre
250,libre
266,pas libre
191,libre
826,libre
268,partiellement libre
324,partiellement libre
270,pas libre
226,pas libre
300,libre
308,libre
328,libre
222,libre
332,partiellement libre
348,libre
360,partiellement libre
356,libre
748,pas libre
372,libre
364,pas libre
368,pas libre
352,libre
376,libre
380,libre
388,libre
400,partiellement libre
392,libre
398,pas libre
417,partiellement libre
410,libre
414,partiellement libre
418,pas libre
422,partiellement libre
426,partiellement libre
440,libre
442,libre
428,libre
446,partiellement libre
504,partiellement libre
498,partiellement libre
462,partiellement libre
484,partiellement libre
470,libre
104,pas libre
499,libre
496,libre
478,pas libre
480,libre
458,partiellement libre
566,partiellement libre
528,libre
524,partiellement libre
578,libre
554,libre
586,partiellement libre
598,partiellement libre
604,libre
608,partiellement libre
616,libre
620,libre
642,libre
643,pas libre
646,pas libre
882,libre
678,libre
702,partiellement libre
688,libre
90,partiellement libre
703,libre
705,libre
740,libre
710,libre
752,libre
760,pas libre
768,partiellement libre
764,pas libre
762,pas libre
795,pas libre
626,libre
788,libre
792,partiellement libre
804,partiellement libre
840,libre
860,pas libre
862,partiellement libre
704,pas libre
548,libre
716,pas libre
