c_rd_code,c_rd_Dem_regime
4,Electoral autocracy
24,Electoral autocracy
8,Liberal democracy
32,Electoral democracy
12,Electoral autocracy
51,Electoral autocracy
36,Liberal democracy
40,Liberal democracy
31,Electoral autocracy
108,Electoral autocracy
56,Liberal democracy
204,Liberal democracy
854,Electoral democracy
50,Electoral autocracy
100,Electoral democracy
48,Absolute autocracy
70,Electoral democracy
112,Electoral autocracy
68,Electoral democracy
52,Liberal democracy
76,Electoral democracy
64,Liberal democracy
72,Electoral democracy
124,Liberal democracy
152,Electoral democracy
384,Electoral democracy
120,Electoral autocracy
180,Electoral autocracy
178,Electoral autocracy
170,Electoral democracy
174,Electoral autocracy
132,Electoral democracy
188,Liberal democracy
192,Absolute autocracy
196,Liberal democracy
203,Liberal democracy
276,Liberal democracy
116,Electoral autocracy
262,Electoral autocracy
208,Liberal democracy
214,Electoral democracy
218,Electoral democracy
148,Electoral autocracy
818,Electoral autocracy
232,Absolute autocracy
233,Liberal democracy
231,Electoral autocracy
246,Liberal democracy
242,Electoral democracy
250,Liberal democracy
266,Electoral autocracy
268,Electoral democracy
288,Liberal democracy
191,Electoral democracy
324,Electoral autocracy
270,Electoral democracy
624,Electoral autocracy
226,Electoral autocracy
300,Electoral democracy
320,Electoral democracy
328,Electoral democracy
332,Electoral autocracy
348,Electoral democracy
222,Electoral democracy
360,Electoral democracy
356,Electoral democracy
372,Liberal democracy
364,Electoral autocracy
748,Absolute autocracy
368,Electoral autocracy
352,Liberal democracy
376,Liberal democracy
380,Liberal democracy
388,Electoral democracy
400,Absolute autocracy
392,Liberal democracy
398,Electoral autocracy
404,Electoral autocracy
417,Electoral democracy
410,Electoral democracy
414,Absolute autocracy
418,Absolute autocracy
422,Electoral autocracy
434,Absolute autocracy
426,Electoral democracy
440,Electoral democracy
442,Liberal democracy
428,Liberal democracy
446,Electoral democracy
504,Absolute autocracy
498,Electoral democracy
450,Electoral autocracy
462,Electoral autocracy
484,Electoral democracy
466,Electoral democracy
470,Electoral democracy
104,Electoral autocracy
499,Electoral autocracy
496,Electoral democracy
508,Electoral autocracy
478,Electoral autocracy
480,Liberal democracy
454,Electoral democracy
458,Electoral autocracy
516,Electoral democracy
566,Electoral democracy
558,Electoral autocracy
528,Liberal democracy
524,Electoral democracy
554,Liberal democracy
578,Liberal democracy
586,Electoral autocracy
591,Electoral democracy
598,Electoral autocracy
600,Electoral democracy
604,Electoral democracy
608,Electoral democracy
616,Electoral democracy
620,Liberal democracy
642,Electoral democracy
643,Electoral autocracy
646,Electoral autocracy
678,Electoral democracy
688,Electoral autocracy
694,Electoral democracy
702,Electoral autocracy
703,Electoral democracy
705,Liberal democracy
90,Electoral democracy
706,Absolute autocracy
710,Electoral democracy
724,Liberal democracy
729,Electoral autocracy
740,Electoral democracy
752,Liberal democracy
756,Liberal democracy
760,Absolute autocracy
158,Liberal democracy
762,Electoral autocracy
834,Electoral democracy
764,Absolute autocracy
626,Electoral democracy
768,Electoral autocracy
780,Liberal democracy
788,Electoral democracy
792,Electoral autocracy
795,Electoral autocracy
800,Electoral autocracy
804,Electoral autocracy
826,Liberal democracy
840,Liberal democracy
858,Liberal democracy
860,Absolute autocracy
548,Liberal democracy
862,Electoral autocracy
704,Absolute autocracy
894,Electoral autocracy
716,Electoral autocracy
